Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
FE-S3-01: Verify STK,SBS-287,10393,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:47 PM,15/Jul/26 3:51 PM,15/Jul/26 3:47 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029l:,SPRINT 3,,,3.0,,,Done,15/Jul/26 3:51 PM
QA-S8-01: Test manual tx,SBS-285,10391,Feature,To Do,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,,,,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,15/Jul/26 2:47 PM,15/Jul/26 2:47 PM,,,,0,,,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,,,,,,,,,,,0|i0028n:,SPRINT 8,,,2.0,,,To Do,15/Jul/26 2:47 PM
BE-S3-04: Khóa PIN,SBS-284,10390,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:47 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029k:,SPRINT 3,,,2.0,,,Done,15/Jul/26 3:51 PM
BE-S3-03: PIN,SBS-282,10388,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:47 PM,15/Jul/26 3:51 PM,15/Jul/26 3:45 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029k:a,SPRINT 3,,,3.0,,,Done,15/Jul/26 3:51 PM
BE-S3-02: Setup STK,SBS-280,10386,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:47 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029j:i,SPRINT 3,,,3.0,,,Done,15/Jul/26 3:51 PM
FE-S1-05: Onboarding,SBS-278,10384,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,Quang Nguyễn,712020:52fd5a54-b2c3-407c-a5ad-9ab2de255e65,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:47 PM,15/Jul/26 3:18 PM,,15/Jul/26 3:18 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i00273:,SPRINT 1,,,2.0,,,Done,15/Jul/26 3:18 PM
BE-S3-01: Wallet mặc định,SBS-277,10383,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,15/Jul/26 2:47 PM,15/Jul/26 3:51 PM,15/Jul/26 3:44 PM,15/Jul/26 3:51 PM,,0,,,Bùi Quang Hiếu,712020:8598f7d9-9974-4bb0-afd5-f34c02905b33,,,,,,,,,,,0|i0029k:i,SPRINT 3,,,2.0,,,Done,15/Jul/26 3:51 PM
FE-S8-03: Search,SBS-275,10381,Feature,To Do,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,,,,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,15/Jul/26 2:47 PM,15/Jul/26 2:47 PM,,,,0,,,Trường Giang Nguyễn,712020:87ac96f3-d706-4853-927a-b435d5d18746,,,,,,,,,,,0|i0026f:,SPRINT 8,,,2.0,,,To Do,15/Jul/26 2:47 PM
FE-S1-04: Lưu token,SBS-272,10378,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,TrungHoang lê,712020:55551c28-ba57-4442-a23d-17b4aa99887f,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:46 PM,15/Jul/26 3:17 PM,,15/Jul/26 3:17 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0017l:,SPRINT 1,,,2.0,,,Done,15/Jul/26 3:17 PM
FE-S1-03: Login + Register UI,SBS-263,10369,Feature,Done,SBS,Sprint_Backlog_SmartSpend,software,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,Medium,Done,TrungHoang lê,712020:55551c28-ba57-4442-a23d-17b4aa99887f,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,15/Jul/26 2:46 PM,15/Jul/26 3:16 PM,,15/Jul/26 3:16 PM,,0,,,tranvinhtri2705,712020:9712f75f-c53b-43bc-94e9-d5939d878070,,,,,,,,,,,0|i0017s:,SPRINT 1,,,3.0,,,Done,15/Jul/26 3:16 PM
